MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen,longitude,latitude
Liander N.V.,Liander N.V. (NW),,De Ruyterkade Steigers,1011AA,1011AB,AMSTERDAM,NL,ELK,KVB,34,1.0,0.4706,1.0,0.29,3x25,13601,0.4118,0.2059,1.3,52.37777895,4.90558954
Liander N.V.,Liander N.V. (NW),,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,38,1.0,0.5789,1.0,0.34,3x25,14672,0.36840000000000006,0.2632,1,52.37741248,4.908366485
Liander N.V.,Liander N.V. (NW),,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,19,1.0,0.0526,1.0,0.58,3x25,4026,0.47369999999999995,0.0,1.5,52.37633964,4.906366778
Liander N.V.,Liander N.V. (NW),,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,1.0,0.36840000000000006,1.0,0.63,3x25,3239,0.31579999999999997,0.0526,1,52.3755845,4.910773815
,Liander N.V. (NW),,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,14,1.0,0.9286,1.0,0.29,1x35,19220,0.5,0.35710000000000003,1.6,52.37587508,4.902921301
,Liander N.V. (NW),,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,1.0,1.0,1.0,0.67,1x25,4238,0.1429,0.047599999999999996,1.1,52.3756894,4.902931444
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9048,1.0,0.48,1x35,8360,0.381,0.381,1.1,52.37543484,4.902830653
,Liander N.V. (NW),,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,1.0,0.6154,1.0,0.46,3x25,9634,0.3077,0.07690000000000001,1,52.37464881,4.903881878
Liander N.V.,Liander N.V. (NW),,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,15,1.0,0.8,1.0,0.4,3x25,13024,0.6667000000000001,0.6,1.3,52.37412891,4.904894217
,Liander N.V. (NW),,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,29,1.0,0.8621,1.0,0.38,1x35,2146,0.4828,0.4138,1.3,52.374012,4.905070261
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,1.0,0.7,1.0,0.5,1x35,5926,0.55,0.45,1,52.37390359,4.905291585
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,32,1.0,0.9063,1.0,0.44,1x35,7583,0.25,0.1563,1.3,52.37371616,4.905609
,Liander N.V. (NW),,Prins Hendrikkade,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,12,1.0,0.75,1.0,0.42,3x25,4463,0.5,0.25,1.3,52.37343285,4.906105172
,Liander N.V. (NW),,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,12,1.0,0.8332999999999999,1.0,0.33,1x35,8599,0.25,0.0,1.4,52.37327418,4.906393574
,Liander N.V. (NW),,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8332999999999999,1.0,0.44,3x25,3936,0.5556,0.44439999999999996,1.1,52.3730859,4.906764357
,Liander N.V. (NW),,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,20,1.0,0.95,1.0,0.5,1x35,2372,0.35,0.15,1.2,52.37295977,4.906985012
Liander N.V.,Liander N.V. (NW),,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,17,1.0,0.8234999999999999,1.0,0.59,3x25,3850,0.7059000000000001,0.6470999999999999,1,52.37401026,4.904412316
,Liander N.V. (NW),,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,30,1.0,0.7667,1.0,0.53,1x35,2805,1.0,0.7333,2,52.37329842,4.905631107
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BA,1011BA,AMSTERDAM,NL,ELK,KVB,19,0.9473999999999999,0.36840000000000006,1.0,0.63,3x25,2267,0.5789,0.31579999999999997,1,52.37349878,4.905649899
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,24,1.0,0.9582999999999999,1.0,0.58,1x35,3404,0.5,0.4167,1.2,52.37278311,4.906879699
Liander N.V.,Liander N.V. (NW),,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,30,0.9333,0.7667,1.0,0.6,3x25,3490,0.5,0.4667,1.1,52.37264624,4.906582461
Liander N.V.,Liander N.V. (NW),,Binnenkant AB,1011BE,1011BG,AMSTERDAM,NL,ELK,KVB,28,1.0,0.7143,1.0,0.5,1x35,2068,0.1429,0.07139999999999999,1.2,52.3744218,4.903799567
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,34,1.0,0.9412,1.0,0.5,1x35,2867,0.5294,0.5,1.1,52.37365295,4.904445567
,Liander N.V. (NW),,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,22,1.0,0.9091,1.0,0.45,3x25,5646,0.3182,0.1364,1.2,52.37342859,4.904855797
,Liander N.V. (NW),,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,0.5,1x35,2307,0.125,0.125,1,52.37324366,4.905149053
,Liander N.V. (NW),,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,1.0,0.9565,1.0,0.87,1x35,2004,0.3043,0.21739999999999998,1.2,52.37300124,4.905577539
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,1.0,0.7143,1.0,0.67,3x25,3051,0.1905,0.1905,1,52.3729016,4.905754835
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8889,1.0,0.78,3x25,2845,0.16670000000000001,0.0556,1.4,52.37276488,4.90600043
,Liander N.V. (NW),,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,1.0,1.0,1.0,0.67,1x35,1765,0.2,0.1333,1.2,52.37262875,4.906249579
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,29,1.0,0.7931,1.0,0.62,3x25,2753,0.4828,0.4483,1.2,52.37505515,4.902747641
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,0.9677,0.9355,1.0,0.48,3x25,2314,0.45159999999999995,0.45159999999999995,1.1,52.37461522,4.902534889
,Liander N.V. (NW),,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,23,1.0,0.6522,1.0,0.61,3x25,2324,0.5652,0.5217,1,52.37423873,4.90250337
,Liander N.V. (NW),,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,1.0,0.9697,1.0,0.64,1x25,2256,0.7273000000000001,0.7273000000000001,1,52.37385739,4.902743391
,Liander N.V. (NW),,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,1.0,1.0,1.0,0.82,1x25,1415,0.9545,0.9545,1,52.37335915,4.903098287
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,0.9643,0.9286,1.0,0.43,1x25,3662,0.7857,0.7857,1,52.37315656,4.903483163
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,1.0,0.5676,1.0,0.51,3x25,1742,0.5405,0.5405,1,52.37293756,4.903857287
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,25,1.0,0.8,1.0,0.4,1x35,2183,0.72,0.76,1,52.37265763,4.904363975
,Liander N.V. (NW),,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9048,1.0,0.48,1x25,2038,0.619,0.5714,1,52.37247242,4.904705504
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot  94 to,1011CD,1011CD,AMSTERDAM,NL,ELK,KVB,19,1.0,0.9473999999999999,1.0,0.63,1x25,2268,0.8946999999999999,0.8946999999999999,1,52.3723315,4.904941455
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CE,1011CE,AMSTERDAM,NL,ELK,KVB,12,0.8332999999999999,0.75,1.0,0.42,3x25,2916,0.5,0.5832999999999999,1.5,52.37218959,4.905207416
Liander N.V.,Liander N.V. (NW),,Oude Waal AB,1011CG,1011CH,AMSTERDAM,NL,ELK,KVB,28,1.0,0.9286,1.0,0.36,1x35,10508,0.17859999999999998,0.035699999999999996,1.2,52.37389867,4.902160766
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CJ,1011CJ,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,0.75,1x25,7148,0.1875,0.0625,1.1,52.37370669,4.902599093
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CK,1011CK,AMSTERDAM,NL,ELK,KVB,14,1.0,1.0,1.0,0.79,1x25,2400,0.07139999999999999,0.07139999999999999,1,52.37386467,4.901876154
,Liander N.V. (NW),,Binnen Bantammerstraat,1011CL,1011CL,AMSTERDAM,NL,ELK,KVB,10,1.0,1.0,1.0,0.8,1x25,1647,0.0,0.0,1,52.37369088,4.902355311
Liander N.V.,Liander N.V. (NW),,Nieuwe Jonkerstraat,1011CM,1011CM,AMSTERDAM,NL,ELK,KVB,72,1.0,0.8194,1.0,0.35,3x25,2537,0.4861,0.4583,1,52.37342669,4.902533036
,Liander N.V. (NW),,Nieuwe Ridderstraat,1011CN,1011CN,AMSTERDAM,NL,ELK,KVB,13,1.0,0.8462000000000001,1.0,0.54,3x25,4510,0.6154,0.46149999999999997,1.2,52.3734069,4.902195347
Liander N.V.,Liander N.V. (NW),,Nieuwe Ridderstraat,1011CP,1011CR,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9523999999999999,1.0,0.57,1x25,2100,0.1905,0.1429,1.1,52.37320833,4.90195339
,Liander N.V. (NW),,Recht Boomssloot,1011CS,1011CS,AMSTERDAM,NL,ELK,KVB,26,1.0,0.9615,1.0,0.69,1x25,1842,0.0,0.0,1,52.37286682,4.902553748
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot,1011CT,1011CT,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8889,1.0,0.44,1x25,2527,0.0,0.0,1,52.37266197,4.902933583
,Liander N.V. (NW),,Recht Boomssloot,1011CV,1011CV,AMSTERDAM,NL,ELK,KVB,19,1.0,1.0,1.0,0.58,1x25,1532,0.2632,0.2632,1.1,52.37247171,4.90324394
,Liander N.V. (NW),,Recht Boomssloot,1011CW,1011CW,AMSTERDAM,NL,ELK,KVB,15,1.0,0.9333,1.0,0.53,1x25,2316,0.0,0.0,1,52.37222815,4.90370451
,Liander N.V. (NW),,Recht Boomssloot,1011CX,1011CX,AMSTERDAM,NL,ELK,KVB,19,1.0,1.0,1.0,0.68,1x25,2550,0.0526,0.0526,1,52.37205136,4.904003181
,Liander N.V. (NW),,Recht Boomssloot,1011CZ,1011CZ,AMSTERDAM,NL,ELK,KVB,22,0.8181999999999999,0.8636,1.0,0.59,1x25,2311,0.2273,0.2273,1.1,52.37187984,4.904307706
,Liander N.V. (NW),,Lastageweg,1011DB,1011DB,AMSTERDAM,NL,ELK,KVB,10,1.0,1.0,1.0,0.9,1x25,4490,0.1,0.0,1.1,52.37337661,4.902673651
,Liander N.V. (NW),,J.W. Siebbeleshof,1011DC,1011DD,AMSTERDAM,NL,ELK,KVB,126,1.0,0.9762000000000001,1.0,0.9,1x35,4110,0.9762000000000001,0.9682999999999999,2,52.37639368,4.906751616
,Liander N.V. (NW),,W Frederik Hermansstr,1011DG,1011DG,AMSTERDAM,NL,ELK,KVB,87,1.0,0.9884999999999999,1.0,0.93,1x35,3374,1.0,0.9884999999999999,,52.37616742,4.907656142
,Liander N.V. (NW),,Oosterdoksstraat,1011DK,1011DL,AMSTERDAM,NL,ELK,KVB,67,1.0,0.9403,1.0,0.79,1x35,5635,0.4925,0.4925,1,52.37603118,4.90700958
Liander N.V.,Liander N.V. (NW),,Dijkdwarsstraat,1011DZ,1011EA,AMSTERDAM,NL,ELK,KVB,52,1.0,0.8077,1.0,0.69,1x25,2780,0.25,0.2115,1.1,52.37290194,4.901847834
,Liander N.V. (NW),,Recht Boomssloot,1011EB,1011EB,AMSTERDAM,NL,ELK,KVB,24,1.0,1.0,1.0,0.83,1x25,1551,0.5832999999999999,0.5832999999999999,1,52.3725743,4.902437805
Liander N.V.,Liander N.V. (NW),,Recht Boomssloot,1011EC,1011EC,AMSTERDAM,NL,ELK,KVB,19,1.0,0.8946999999999999,1.0,0.47,1x25,7481,0.21050000000000002,0.0526,1.2,52.37217795,4.90315274
,Liander N.V. (NW),,Recht Boomssloot,1011ED,1011ED,AMSTERDAM,NL,ELK,KVB,14,1.0,1.0,1.0,0.86,1x25,1595,0.2857,0.2857,1,52.37170905,4.904027994
,Liander N.V. (NW),,Montelbaanstraat,1011EE,1011EE,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,1.0,1x25,1651,0.0,0.0,1,52.37261827,4.904047177
,Liander N.V. (NW),,Montelbaanstraat,1011EG,1011EG,AMSTERDAM,NL,ELK,KVB,22,1.0,0.9545,1.0,0.82,1x25,1682,0.0,0.0,1,52.37251009,4.903791232
,Liander N.V. (NW),,Geldersekade,1011EH,1011EH,AMSTERDAM,NL,ELK,KVB,39,1.0,0.9487000000000001,1.0,0.72,1x25,3413,0.3333,0.3077,1.1,52.37578351,4.902564733
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EJ,1011EJ,AMSTERDAM,NL,ELK,KVB,46,1.0,0.8913,1.0,0.41,1x25,5109,0.10869999999999999,0.0435,1.1,52.37535241,4.902367974
Liander N.V.,Liander N.V. (NW),,geldersekd,1011EK,1011EK,AMSTERDAM,NL,ELK,KVB,27,1.0,0.963,1.0,0.41,1x25,6368,0.2963,0.2593,1.1,52.3749223,4.902147963
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EL,1011EL,AMSTERDAM,NL,ELK,KVB,47,1.0,0.8723000000000001,1.0,0.47,1x25,4884,0.2979,0.21280000000000002,1.1,52.37429448,4.901824864
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EM,1011EM,AMSTERDAM,NL,ELK,KVB,23,1.0,0.8695999999999999,1.0,0.48,1x25,5055,0.1304,0.0435,1.2,52.37366795,4.901512004
Liander N.V.,Liander N.V. (NW),,Geldersekade,1011EN,1011EN,AMSTERDAM,NL,ELK,KVB,30,1.0,0.9667,1.0,0.67,1x25,5730,0.23329999999999998,0.1333,1.2,52.37303527,4.901232117
,Liander N.V. (NW),,Waalsteeg,1011ER,1011ER,AMSTERDAM,NL,ELK,KVB,10,1.0,1.0,1.0,0.4,1x25,2458,0.5,0.5,1,52.37414528,4.902232307
,Liander N.V. (NW),,Koningsstraat,1011ES,1011ET,AMSTERDAM,NL,ELK,KVB,42,1.0,1.0,1.0,0.67,1x25,4587,0.3333,0.2619,1.1,52.37233965,4.902061078
,Liander N.V. (NW),,Koningsstraat,1011EV,1011EW,AMSTERDAM,NL,ELK,KVB,47,1.0,1.0,1.0,0.45,1x35,3785,0.3191,0.3191,1,52.37229746,4.901779633
,Liander N.V. (NW),,Korte Koningsstraat,1011EX,1011EX,AMSTERDAM,NL,ELK,KVB,27,1.0,1.0,1.0,0.63,1x25,2148,0.3704,0.3333,1.2,52.37182539,4.902999383
Liander N.V.,Liander N.V. (NW),,Korte Koningsstraat,1011EZ,1011EZ,AMSTERDAM,NL,ELK,KVB,13,1.0,0.6923,1.0,0.54,3x25,1696,0.15380000000000002,0.15380000000000002,1,52.37150059,4.903538067
Liander N.V.,Liander N.V. (NW),,Korte Koningsstraat,1011GA,1011GA,AMSTERDAM,NL,ELK,KVB,28,1.0,0.9286,1.0,0.61,1x25,2309,0.75,0.6429,1.4,52.37167099,4.90299045
Liander N.V.,Liander N.V. (NW),,Korte Koningsdwarsstraat,1011GB,1011GC,AMSTERDAM,NL,ELK,KVB,21,1.0,0.7619,1.0,0.38,1x25,1858,0.7143,0.7143,1,52.37174529,4.903445721
Liander N.V.,Liander N.V. (NW),,Keizersstraat,1011GD,1011GD,AMSTERDAM,NL,ELK,KVB,52,0.9423,0.9615,1.0,0.65,1x35,2302,0.8462000000000001,0.8077,1.3,52.3718519,4.901566999
,Liander N.V. (NW),,Korte Keizersstraat,1011GG,1011GG,AMSTERDAM,NL,ELK,KVB,22,1.0,1.0,1.0,0.77,1x35,1407,0.7273000000000001,0.7273000000000001,1,52.37132243,4.902797245
,Liander N.V. (NW),,Korte Keizersstraat,1011GH,1011GH,AMSTERDAM,NL,ELK,KVB,24,1.0,1.0,1.0,0.88,1x25,1448,0.7917000000000001,0.75,1.2,52.37122178,4.902693459
,Liander N.V. (NW),,Korte Keizersdwarsstraat,1011GJ,1011GJ,AMSTERDAM,NL,ELK,KVB,18,1.0,1.0,1.0,0.83,1x25,2292,0.8332999999999999,0.8332999999999999,1,52.3714535,4.902967643
,Liander N.V. (NW),,Kleersloot,1011GK,1011GL,AMSTERDAM,NL,ELK,KVB,93,1.0,0.9462,1.0,0.77,1x25,1790,0.6774,0.6559,1,52.37135638,4.901377421
,Liander N.V. (NW),,Korte Dijkstraat,1011GM,1011GM,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9523999999999999,1.0,0.62,1x25,2212,0.8571,0.8571,1,52.3707685,4.901845351
,Liander N.V. (NW),,Brandewijnsteeg,1011GN,1011GN,AMSTERDAM,NL,ELK,KVB,26,1.0,0.9615,1.0,0.96,1x25,1686,0.6537999999999999,0.6537999999999999,1,52.37276316,4.901708458
,Liander N.V. (NW),,Krom Boomssloot,1011GP,1011GP,AMSTERDAM,NL,ELK,KVB,14,1.0,0.9286,1.0,0.79,1x25,4665,0.6429,0.5714,1.2,52.37217031,4.902824347
,Liander N.V. (NW),,Krom Boomssloot,1011GR,1011GR,AMSTERDAM,NL,ELK,KVB,33,1.0,0.9394,1.0,0.7,1x25,1657,0.6364,0.6364,1,52.37173586,4.90263138
Liander N.V.,Liander N.V. (NW),,Krom Boomssloot,1011GS,1011GS,AMSTERDAM,NL,ELK,KVB,42,0.9762000000000001,0.9523999999999999,1.0,0.4,1x25,4286,0.6667000000000001,0.619,1,52.37115834,4.902218624
,Liander N.V. (NW),,Krom Boomssloot,1011GT,1011GT,AMSTERDAM,NL,ELK,KVB,13,1.0,0.9231,1.0,0.77,1x25,2239,0.8462000000000001,0.8462000000000001,1,52.37077092,4.901538014
Liander N.V.,Liander N.V. (NW),,Krom Boomssloot,1011GV,1011GV,AMSTERDAM,NL,ELK,KVB,20,1.0,0.8,1.0,0.45,3x25,1944,0.55,0.5,1.2,52.37235298,4.902470767
Liander N.V.,Liander N.V. (NW),,Krom Boomssloot,1011GW,1011GW,AMSTERDAM,NL,ELK,KVB,12,1.0,0.8332999999999999,1.0,0.33,3x25,7776,0.75,0.75,1,52.37192432,4.902222185
,Liander N.V. (NW),,Krom Boomssloot,1011GX,1011GX,AMSTERDAM,NL,ELK,KVB,19,1.0,1.0,1.0,0.89,1x25,1426,0.9473999999999999,0.9473999999999999,1,52.3713856,4.901931423
,Liander N.V. (NW),,Snoekjesgracht,1011GZ,1011GZ,AMSTERDAM,NL,ELK,KVB,37,1.0,0.973,1.0,0.97,1x25,1552,0.8649,0.8649,1,52.37037986,4.901284899
,Liander N.V. (NW),,Snoekjessteeg,1011HA,1011HB,AMSTERDAM,NL,ELK,KVB,229,1.0,0.9738,1.0,0.63,1x25,3207,0.3188,0.25329999999999997,1.1,52.37097709,4.900645513
,Liander N.V. (NW),,Nieuwe Hoogstraat,1011HC,1011HC,AMSTERDAM,NL,ELK,KVB,58,1.0,0.7585999999999999,1.0,0.53,1x25,3738,0.5861999999999999,0.569,1,52.3708717,4.899513035
,Liander N.V. (NW),,Nieuwe Hoogstraat,1011HD,1011HD,AMSTERDAM,NL,ELK,KVB,47,1.0,0.5532,1.0,0.51,3x25,4632,0.5532,0.4894,1.5,52.370712,4.900101934
,Liander N.V. (NW),,Nieuwe Hoogstraat,1011HE,1011HE,AMSTERDAM,NL,ELK,KVB,19,1.0,1.0,1.0,0.47,1x35,6309,0.6315999999999999,0.5789,1.1,52.37076902,4.899352595
,Liander N.V. (NW),,Nieuwe Hoogstraat,1011HG,1011HG,AMSTERDAM,NL,ELK,KVB,28,1.0,1.0,1.0,0.68,1x25,6240,0.9643,0.9643,1,52.3705376,4.900161992
,Liander N.V. (NW),,Onkelboerensteeg,1011HH,1011HH,AMSTERDAM,NL,ELK,KVB,22,1.0,1.0,1.0,0.77,1x25,1954,0.9545,0.9545,1,52.37058338,4.899395192
,Liander N.V. (NW),,Zandstraat,1011HJ,1011HJ,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,0.44,1x25,2472,0.5625,0.5625,1,52.37027533,4.899046486
,Liander N.V. (NW),,Zandstraat,1011HK,1011HK,AMSTERDAM,NL,ELK,KVB,11,1.0,1.0,1.0,0.64,1x25,2679,0.8181999999999999,0.7273000000000001,1.3,52.37020154,4.898805753
,Liander N.V. (NW),,Zandstraat,1011HL,1011HL,AMSTERDAM,NL,ELK,KVB,21,1.0,1.0,1.0,0.67,1x25,1689,0.8095,0.8095,1,52.37002617,4.899581275
Liander N.V.,Liander N.V. (NW),,Zanddwarsstraat,1011HM,1011HP,AMSTERDAM,NL,ELK,KVB,27,1.0,0.963,1.0,0.59,1x25,2401,0.8889,0.8889,1.5,52.3702986,4.899329842
,Liander N.V. (NW),,Groenburgwal,1011HR,1011HR,AMSTERDAM,NL,ELK,KVB,47,1.0,1.0,1.0,0.79,1x25,4067,0.8511,0.8511,1,52.36928198,4.898927086
Liander N.V.,Liander N.V. (NW),,Groenburgwal,1011HS,1011HS,AMSTERDAM,NL,ELK,KVB,44,1.0,0.9545,1.0,0.41,1x25,2270,0.75,0.75,1,52.36860532,4.898275508
,Liander N.V. (NW),,Groenburgwal,1011HT,1011HT,AMSTERDAM,NL,ELK,KVB,23,0.9565,1.0,1.0,0.52,1x25,2905,0.9565,0.9565,1,52.36798945,4.897744241
,Liander N.V. (NW),,Groenburgwal,1011HV,1011HV,AMSTERDAM,NL,ELK,KVB,22,1.0,1.0,1.0,0.59,1x25,2743,0.9091,0.9091,1,52.36930779,4.898387575
,Liander N.V. (NW),,Groenburgwal,1011HW,1011HW,AMSTERDAM,NL,ELK,KVB,29,1.0,0.9655,1.0,0.41,1x25,3671,0.7931,0.7241,1.2,52.3688294,4.897965406
,Liander N.V. (NW),,Groenburgwal,1011HX,1011HX,AMSTERDAM,NL,ELK,KVB,13,1.0,0.9231,1.0,0.54,1x25,2136,0.8462000000000001,0.8462000000000001,1,52.3680353,4.897235039
,Liander N.V. (NW),,Verversstraat,1011HZ,1011HZ,AMSTERDAM,NL,ELK,KVB,42,1.0,1.0,1.0,0.69,1x25,3559,0.9523999999999999,0.9523999999999999,1,52.36893382,4.899155732
Liander N.V.,Liander N.V. (NW),,Verversstraat,1011JA,1011JA,AMSTERDAM,NL,ELK,KVB,24,1.0,0.9582999999999999,1.0,0.46,1x25,1947,0.75,0.75,1,52.36893752,4.898905067
,Liander N.V. (NW),,Zwanenburgwal,1011JB,1011JB,AMSTERDAM,NL,ELK,KVB,39,1.0,1.0,1.0,0.69,1x25,2164,0.7436,0.7692,1,52.36994403,4.901137763
,Liander N.V. (NW),,Zwanenburgwal,1011JC,1011JG,AMSTERDAM,NL,ELK,KVB,23,1.0,0.9129999999999999,1.0,0.48,1x35,1695,0.7391,0.6957,1,52.36902259,4.899517235
Liander N.V.,Liander N.V. (NW),,Zwanenburgwal,1011JH,1011JH,AMSTERDAM,NL,ELK,KVB,97,1.0,0.8556999999999999,1.0,0.39,1x35,3577,0.6701,0.6392,1.1,52.36843126,4.898842712
Liander N.V.,Liander N.V. (NW),,Staalstraat,1011JJ,1011JJ,AMSTERDAM,NL,ELK,KVB,12,1.0,0.8332999999999999,1.0,0.42,1x25,5927,0.25,0.0833,1.2,52.36834588,4.897139106
Liander N.V.,Liander N.V. (NW),,Staalstraat,1011JK,1011JK,AMSTERDAM,NL,ELK,KVB,12,0.8332999999999999,0.8332999999999999,1.0,0.42,1x35,6474,0.4167,0.4167,1,52.36827113,4.898188296
,Liander N.V. (NW),,Staalstraat,1011JL,1011JL,AMSTERDAM,NL,ELK,KVB,30,1.0,1.0,1.0,0.5,1x25,7055,0.5667,0.5,1.2,52.36821489,4.896984492
Liander N.V.,Liander N.V. (NW),,Staalstraat,1011JM,1011JM,AMSTERDAM,NL,ELK,KVB,14,1.0,0.7143,1.0,0.64,1x25,4955,0.1429,0.07139999999999999,1.1,52.36813923,4.898125775
,Liander N.V. (NW),,Staalkade,1011JN,1011JN,AMSTERDAM,NL,ELK,KVB,18,1.0,1.0,1.0,0.44,1x25,2910,0.8889,0.8889,1,52.3677589,4.897843187
,Liander N.V. (NW),,Nieuwmarkt,1011JP,1011JP,AMSTERDAM,NL,ELK,KVB,14,1.0,0.9286,1.0,0.43,1x25,8268,0.8571,0.9286,,52.37262819,4.901055119
,Liander N.V. (NW),,Nieuwmarkt,1011JR,1011JR,AMSTERDAM,NL,ELK,KVB,18,1.0,0.7222,1.0,0.61,1x25,10266,0.9444,0.7222,,52.3724527,4.900924883
Liander N.V.,Liander N.V. (NW),,Nieuwmarkt,1011JS,1011JT,AMSTERDAM,NL,ELK,KVB,28,1.0,0.8571,1.0,0.32,1x25,20158,0.35710000000000003,0.3214,1.1,52.37180408,4.899992752
Liander N.V.,Liander N.V. (NW),,Kloveniersburgwal,1011JV,1011JV,AMSTERDAM,NL,ELK,KVB,20,1.0,0.95,1.0,0.35,1x25,4855,0.15,0.1,1.1,52.37139185,4.899639427
,Liander N.V. (NW),,Kloveniersburgwal,1011JW,1011JW,AMSTERDAM,NL,ELK,KVB,20,1.0,0.75,1.0,0.7,3x25,4580,0.7,0.45,1.5,52.37076719,4.898939021
Liander N.V.,Liander N.V. (NW),,Kloveniersburgwal,1011JX,1011JX,AMSTERDAM,NL,ELK,KVB,16,1.0,0.875,1.0,0.69,1x25,3647,0.375,0.125,1.3,52.37046109,4.898662585
,Liander N.V. (NW),,Kloveniersburgwal,1011JZ,1011JZ,AMSTERDAM,NL,ELK,KVB,19,1.0,0.9473999999999999,1.0,0.74,1x25,6880,0.21050000000000002,0.15789999999999998,1.1,52.37014393,4.898421677
,Liander N.V. (NW),,Kloveniersburgwal,1011KA,1011KA,AMSTERDAM,NL,ELK,KVB,35,1.0,0.9429000000000001,1.0,0.74,1x25,3708,0.4286,0.3714,1.1,52.36944806,4.897821626
,Liander N.V. (NW),,Kloveniersburgwal,1011KB,1011KB,AMSTERDAM,NL,ELK,KVB,27,1.0,0.963,1.0,0.59,3x25,6348,0.8889,0.8889,1,52.36894153,4.897298142
